model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,experiment_id,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters
roberta-base,imdb,30000,1,32,TRUE,1.58,3baeb956-1563-455e-be4e-a5946572c429,Tesla P100-PCIE-16GB,2.00E-05,512,2,1,,125000000
roberta-base,imdb,30000,1,32,TRUE,1.58,ab80473e-c052-4a32-8101-78e341a47628,Tesla P100-PCIE-16GB,2.00E-05,512,4,1,,125000000
gpt2-xl,imdb,25000,60,1,TRUE,1.58,1d24e5fb-4093-4730-a45a-d2edbee6f906,Tesla P100-PCIE-16GB,0.0002,256,20,1,,1500000000
gpt2-xl,imdb,25000,55,1,TRUE,1.58,3b39ef1a-1aa7-42a7-aaee-86971affaf23,Tesla P100-PCIE-16GB,0.0002,256,28,1,,1500000000
gpt2-xl,imdb,25000,65,1,TRUE,1.58,1889758d-c2c2-41f5-8726-e90c6ad1a362,Tesla P100-PCIE-16GB,0.0002,256,18,1,,1500000000
gpt2-xl,imdb,25000,70,1,TRUE,1.58,3ca7284a-0be1-4764-a3e0-2bbe23297e08,Tesla P100-PCIE-16GB,0.0002,256,22,1,,1500000000
gpt2-xl,imdb,25000,80,1,TRUE,1.58,3f67142e-5b49-40c7-9b9a-daa7ae51927c,Tesla P100-PCIE-16GB,0.0002,256,16,1,,1500000000
gpt2-xl,imdb,25000,80,1,TRUE,1.58,2cb09954-8aa6-479e-bf16-56a2b2291d02,Tesla P100-PCIE-16GB,0.0002,256,16,1,,1500000000
gpt2-xl,imdb,25000,68,1,TRUE,1.58,a9f1ae66-a7d6-447c-9605-fcae40d8ef0d,Tesla P100-PCIE-16GB,0.0002,256,20,1,,1500000000
gpt2-xl,imdb,25000,62,1,TRUE,1.58,8893817b-a82d-4f1c-94f1-6b0ad2cbfd98,Tesla P100-PCIE-16GB,0.0002,256,32,1,,1500000000
gpt2-xl,imdb,25000,78,1,TRUE,1.58,a1e92271-ec6d-43ec-8a2e-04fd06e6f4af,Tesla P100-PCIE-16GB,0.0002,256,14,1,,1500000000
gpt2-xl,imdb,25000,58,1,TRUE,1.58,9c28c64c-c1f6-4c16-a431-a44151075400,Tesla P100-PCIE-16GB,0.0002,256,36,1,,1500000000
gpt2-xl,imdb,25000,74,1,TRUE,1.58,e46d717e-5909-48c1-905c-ca72816d4a55,Tesla P100-PCIE-16GB,0.0002,256,12,1,,1500000000
gpt2-xl,imdb,25000,66,1,TRUE,1.58,c99adf75-3e96-4c96-824d-332b7820c8ce,Tesla P100-PCIE-16GB,0.0002,256,24,1,,1500000000
gpt2-xl,imdb,25000,60,1,TRUE,1.58,acf27bce-e8de-4594-aadb-f09004049b15,Tesla P100-PCIE-16GB,0.0002,256,20,1,,1500000000
bert-large-uncased,imdb,10000,1,8,TRUE,1.58,67b63f6c-b8d1-442a-9e22-f7d22bd145dd,Tesla P100-PCIE-16GB,2.00E-05,256,2,1,,335141890
bert-large-uncased,imdb,25000,1,8,TRUE,1.58,81b8e753-f100-4d9e-83fb-1edd9a61775c,Tesla P100-PCIE-16GB,2.00E-05,256,2,1,,335141890
